epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.01248,0.68931,0.63077,1,0.84551,0.00026208,0.00026208,0.0682621
2,12.3555,0.62235,0.62308,1,0.64238,0.000499039,0.000499039,0.035499
3,16.6489,0.59315,0.70769,1,0.65875,0.000702173,0.000702173,0.00270217
4,20.0242,0.57829,0.66923,1,0.57742,0.000665255,0.000665255,0.000665255
5,23.3444,0.59279,0.76923,1,0.50544,0.000614007,0.000614007,0.000614007
6,28.2508,0.47011,0.73846,1,0.57356,0.000562758,0.000562758,0.000562758
7,31.7418,0.47086,0.7,1,0.62861,0.00051151,0.00051151,0.00051151
8,35.193,0.51487,0.69231,1,0.63843,0.000460262,0.000460262,0.000460262
9,39.0739,0.45466,0.66923,1,0.66733,0.000409013,0.000409013,0.000409013
10,45.3188,0.38583,0.72308,1,0.62155,0.000357765,0.000357765,0.000357765
