epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.11423,1.80199,0.3,0.92308,1.65508,0.00226327,0.00226327,0.0780208
2,16.4585,1.57395,0.4,0.97692,1.41914,0.00442012,0.00442012,0.0551777
3,21.3037,1.36231,0.46923,0.99231,1.28008,0.00639707,0.00639707,0.0321547
4,25.5346,1.21033,0.48462,0.97692,1.13867,0.00819415,0.00819415,0.00895173
5,29.6723,1.07797,0.52308,1,1.32402,0.00789694,0.00789694,0.00789694
6,33.847,0.93537,0.47692,0.99231,1.26602,0.00753717,0.00753717,0.00753717
7,38.0638,0.92433,0.60769,0.96923,1.24688,0.0071774,0.0071774,0.0071774
8,42.2308,0.8482,0.45385,1,1.68633,0.00681764,0.00681764,0.00681764
9,46.4228,0.81789,0.57692,0.96923,1.10518,0.00645787,0.00645787,0.00645787
10,53.9606,0.64647,0.56923,0.98462,1.20615,0.0060981,0.0060981,0.0060981
11,58.2071,0.71185,0.53077,0.99231,1.10264,0.00573834,0.00573834,0.00573834
12,62.4897,0.65055,0.50769,0.99231,1.20898,0.00537857,0.00537857,0.00537857
